"filename", "language", "HTML", "Markdown", "JavaScript", "CSS", "JSON", "XML", "Shell Script", "comment", "blank", "total"
"d:\Proyectos reactjs\iglesia\README.md", "Markdown", 0, 38, 0, 0, 0, 0, 0, 0, 33, 71
"d:\Proyectos reactjs\iglesia\deploy.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"d:\Proyectos reactjs\iglesia\package-lock.json", "JSON", 0, 0, 0, 0, 23100, 0, 0, 0, 1, 23101
"d:\Proyectos reactjs\iglesia\package.json", "JSON", 0, 0, 0, 0, 51, 0, 0, 0, 1, 52
"d:\Proyectos reactjs\iglesia\public\index.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 23, 1, 44
"d:\Proyectos reactjs\iglesia\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\Proyectos reactjs\iglesia\src\App.css", "CSS", 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"d:\Proyectos reactjs\iglesia\src\App.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 0, 7, 63
"d:\Proyectos reactjs\iglesia\src\App.test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\Proyectos reactjs\iglesia\src\components\Layout.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\Proyectos reactjs\iglesia\src\components\NavSidebar.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"d:\Proyectos reactjs\iglesia\src\components\Navbar.js", "JavaScript", 0, 0, 56, 0, 0, 0, 0, 5, 3, 64
"d:\Proyectos reactjs\iglesia\src\components\Sidebar.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 3, 60
"d:\Proyectos reactjs\iglesia\src\dashboard\Dashboard.js", "JavaScript", 0, 0, 137, 0, 0, 0, 0, 5, 9, 151
"d:\Proyectos reactjs\iglesia\src\helpers\Url.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 1, 1, 5
"d:\Proyectos reactjs\iglesia\src\index.css", "CSS", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Proyectos reactjs\iglesia\src\index.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 3, 3, 18
"d:\Proyectos reactjs\iglesia\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Proyectos reactjs\iglesia\src\miembro\MiembroCreate.js", "JavaScript", 0, 0, 187, 0, 0, 0, 0, 0, 7, 194
"d:\Proyectos reactjs\iglesia\src\miembro\MiembroEdit.js", "JavaScript", 0, 0, 201, 0, 0, 0, 0, 0, 10, 211
